1534074740
xxxxxxxxxx	1531750717	1531923911	1532099624	1532272812	1532445771	1532619981	1532794902	1532974310	1533218319	1533392491	1533568811	1533742522	1534000888
28R82C022	1<>1<>1120	1<>1<>1680	XXXXXXXX	XXXXXXXX	1<>1<>1400	1<>1<>1400	1<>1<>1120	1<>1<>1680	1<>1<>840	1<>1<>1400	1<>1<>1120	2<>2<>1120	1<>1<>1400
2CLVUC9UV	1<>1<>1120	2<>0<>1120	1<>0<>1120	1<>0<>1400	1<>1<>840	1<>1<>1120	1<>1<>1120	1<>0<>1400	1<>0<>840	1<>1<>1120	1<>1<>1120	1<>0<>1120	1<>1<>840
8V8009VJ	1<>1<>1120	1<>1<>1400	1<>1<>1400	1<>1<>1400	1<>1<>1400	1<>1<>1400	1<>0<>1400	2<>2<>1120	1<>1<>1400	1<>0<>840	1<>0<>1120	2<>2<>1400	1<>1<>1120
90PGU8P	1<>1<>1120	1<>0<>1120	1<>1<>1120	1<>0<>840	XXXXXXXX	1<>1<>280	XXXXXXXX	0<>0<>1120	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX
9LVGRL80	1<>1<>1049	1<>0<>1120	1<>0<>1680	1<>1<>1400	1<>1<>1680	1<>1<>1120	1<>1<>1120	1<>0<>1120	1<>0<>1120	1<>1<>840	1<>0<>1120	1<>1<>1400	1<>0<>1400
229YQU9J	1<>1<>840	1<>0<>1120	1<>1<>1400	1<>1<>840	1<>0<>840	1<>0<>1120	1<>1<>1400	1<>0<>1120	1<>0<>1120	1<>0<>1120	1<>0<>1120	1<>0<>1120	1<>0<>1120
LJ0P8G0	1<>1<>840	XXXXXXXX	1<>1<>1120	1<>0<>1680	1<>0<>1400	1<>1<>1400	1<>0<>1120	XXXXXXXX	1<>1<>1680	1<>1<>1400	1<>1<>1400	1<>1<>1120	1<>1<>840
9VLG0GJP	1<>1<>786	1<>1<>1049	1<>1<>1400	1<>1<>840	XXXXXXXX	1<>1<>1680	XXXXXXXX	1<>1<>280	XXXXXXXX	1<>1<>840	1<>1<>280	1<>1<>1400	1<>0<>280
828RVQJCL	1<>0<>1400	0<>0<>1400	1<>0<>1680	1<>1<>1120	1<>0<>1120	1<>1<>1120	1<>0<>1400	1<>0<>1400	1<>0<>1400	1<>1<>1120	1<>1<>1120	1<>1<>840	1<>0<>1400
CLYVV0JU	1<>0<>1400	2<>1<>1400	1<>1<>1400	1<>1<>1120	1<>0<>1120	1<>0<>1120	1<>0<>1680	1<>0<>1680	1<>1<>1680	1<>0<>840	1<>1<>840	1<>1<>1400	1<>0<>1120
8Y98QPPVC	1<>0<>1400	1<>1<>1680	1<>0<>1120	1<>1<>1120	1<>1<>1120	1<>1<>1120	1<>1<>1120	1<>0<>1400	1<>1<>840	1<>1<>1120	1<>1<>1400	1<>1<>1400	1<>1<>1120
CLQG82LP	1<>0<>1400	1<>0<>840	1<>1<>1400	1<>1<>1400	0<>0<>840	1<>1<>1120	1<>1<>1400	1<>1<>1400	1<>1<>1120	1<>0<>1120	1<>1<>1400	2<>0<>1120	1<>1<>1120
