1535275788
xxxxxxxxxx	1531750717	1531923911	1532099624	1532272812	1532445771	1532619981	1532794902	1532974310	1533218319	1533392491	1533568811	1533742522	1534000888	1534180280	1534356773	1534602626	1534781300	1534956407	1535131318
9VLG0GJP	1<>1<>786	1<>1<>1049	1<>1<>1400	1<>1<>840	XXXXXXXX	1<>1<>1680	XXXXXXXX	1<>1<>280	XXXXXXXX	1<>1<>840	1<>1<>280	1<>1<>1400	1<>0<>280	XXXXXXXX	1<>1<>1120	1<>0<>1120	XXXXXXXX	1<>1<>840	XXXXXXXX
828RVQJCL	1<>0<>1400	0<>0<>1400	1<>0<>1680	1<>1<>1120	1<>0<>1120	1<>1<>1120	1<>0<>1400	1<>0<>1400	1<>0<>1400	1<>1<>1120	1<>1<>1120	1<>1<>840	1<>0<>1400	1<>0<>1120	1<>1<>1400	1<>0<>1400	1<>0<>840	2<>0<>1120	1<>0<>1120
CLYVV0JU	1<>0<>1400	2<>1<>1400	1<>1<>1400	1<>1<>1120	1<>0<>1120	1<>0<>1120	1<>0<>1680	1<>0<>1680	1<>1<>1680	1<>0<>840	1<>1<>840	1<>1<>1400	1<>0<>1120	2<>1<>1400	1<>1<>1680	1<>1<>1120	1<>1<>1120	1<>0<>1120	1<>0<>1120
8Y98QPPVC	1<>0<>1400	1<>1<>1680	1<>0<>1120	1<>1<>1120	1<>1<>1120	1<>1<>1120	1<>1<>1120	1<>0<>1400	1<>1<>840	1<>1<>1120	1<>1<>1400	1<>1<>1400	1<>1<>1120	1<>1<>1120	1<>0<>1400	1<>1<>1120	2<>0<>840	1<>1<>1680	2<>1<>1120
CLQG82LP	1<>0<>1400	1<>0<>840	1<>1<>1400	1<>1<>1400	0<>0<>840	1<>1<>1120	1<>1<>1400	1<>1<>1400	1<>1<>1120	1<>0<>1120	1<>1<>1400	2<>0<>1120	1<>1<>1120	1<>0<>1120	1<>0<>1120	1<>1<>840	0<>0<>840	1<>1<>560	1<>1<>1680
9YQUQ928	1<>0<>1400	1<>1<>1680	1<>0<>1400	1<>1<>1400	1<>1<>1120	1<>0<>1400	1<>1<>1400	1<>0<>1120	1<>0<>1400	1<>0<>1120	XXXXXXXX	1<>0<>1400	1<>1<>1120	1<>1<>1400	1<>1<>1120	1<>1<>840	XXXXXXXX	1<>1<>1400	1<>1<>1400
9PG8QRGV	1<>0<>1400	1<>1<>840	1<>1<>1120	1<>0<>1120	1<>0<>1120	1<>1<>1680	XXXXXXXX	1<>1<>840	1<>0<>1400	1<>0<>1400	1<>1<>840	1<>0<>1680	1<>0<>1400	1<>0<>1400	1<>1<>1400	XXXXXXXX	1<>1<>1680	1<>1<>1680	1<>0<>1400
8RJ2ULJQV	1<>0<>1120	1<>0<>1120	1<>1<>1680	1<>0<>1120	1<>1<>1400	1<>1<>1400	1<>1<>1120	1<>0<>840	1<>1<>1680	1<>0<>1680	1<>1<>1120	1<>1<>1120	1<>0<>1680	1<>0<>1120	1<>0<>840	1<>1<>840	1<>1<>1120	2<>1<>1120	1<>1<>840
9CUYJJ8G	1<>0<>1120	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	1<>0<>1120	XXXXXXXX	XXXXXXXX	1<>0<>1400	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX
UCL20R22	1<>0<>786	1<>1<>1400	1<>1<>1120	1<>1<>840	1<>1<>1400	1<>0<>1120	1<>0<>1120	1<>1<>1120	XXXXXXXX	1<>0<>1120	1<>0<>1400	1<>0<>840	XXXXXXXX	XXXXXXXX	1<>0<>1120	XXXXXXXX	1<>0<>1680	1<>0<>1680	1<>1<>1120
